abundance,acres,state,latitude,longitude
2,47390,ME,44.35,-68.21
5,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
5,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
4,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
4,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
4,801163,TX,29.25,-103.25
4,801163,TX,29.25,-103.25
4,801163,TX,29.25,-103.25
1,801163,TX,29.25,-103.25
4,801163,TX,29.25,-103.25
4,801163,TX,29.25,-103.25
4,801163,TX,29.25,-103.25
4,801163,TX,29.25,-103.25
4,801163,TX,29.25,-103.25
4,801163,TX,29.25,-103.25
1,801163,TX,29.25,-103.25
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,32950,CO,38.57,-107.72
1,35835,UT,37.57,-112.18
4,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
5,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
4,46766,NM,32.17,-104.44
4,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
4,183224,OR,42.94,-122.1
4,183224,OR,42.94,-122.1
5,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
5,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
5,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
1,32950,OH,41.24,-81.55
5,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
1,32950,OH,41.24,-81.55
5,32950,OH,41.24,-81.55
5,4740912,CA  NV,36.24,-116.82
4,4740912,CA  NV,36.24,-116.82
4,4740912,CA  NV,36.24,-116.82
4,4740912,CA  NV,36.24,-116.82
2,4740912,CA  NV,36.24,-116.82
