abundance,acres,state,latitude,longitude
5,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
5,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
5,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
5,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
5,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
5,32950,CO,38.57,-107.72
1,32950,CO,38.57,-107.72
4,32950,CO,38.57,-107.72
2,32950,CO,38.57,-107.72
1,32950,CO,38.57,-107.72
1,32950,CO,38.57,-107.72
1,32950,CO,38.57,-107.72
4,32950,CO,38.57,-107.72
5,32950,CO,38.57,-107.72
4,32950,CO,38.57,-107.72
4,32950,CO,38.57,-107.72
1,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
5,337598,UT,38.2,-109.93
5,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
5,337598,UT,38.2,-109.93
5,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
4,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
1,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
2,337598,UT,38.2,-109.93
5,337598,UT,38.2,-109.93
1,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
5,241904,UT,38.2,-111.17
5,241904,UT,38.2,-111.17
5,241904,UT,38.2,-111.17
2,241904,UT,38.2,-111.17
4,241904,UT,38.2,-111.17
1,249561,CA,34.01,-119.42
4,46766,NM,32.17,-104.44
2,46766,NM,32.17,-104.44
2,46766,NM,32.17,-104.44
2,46766,NM,32.17,-104.44
2,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
5,249561,CA,34.01,-119.42
3,249561,CA,34.01,-119.42
1,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
