abundance,acres,state,latitude,longitude
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
5,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
5,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
2,29094,HI,20.72,-156.17
4,29094,HI,20.72,-156.17
1,29094,HI,20.72,-156.17
4,323431,HI,19.38,-155.2
2,265828,CO,40.4,-105.58
5,265828,CO,40.4,-105.58
