abundance,acres,state,latitude,longitude
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
1,32950,OH,41.24,-81.55
1,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
1,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
1,32950,OH,41.24,-81.55
1,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
1,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
1,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
4,1013572,MT,48.8,-114.0
1,1013572,MT,48.8,-114.0
2,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
2,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
4,1013572,MT,48.8,-114.0
4,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
4,1013572,MT,48.8,-114.0
1,1013572,MT,48.8,-114.0
4,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
5,1013572,MT,48.8,-114.0
2,1013572,MT,48.8,-114.0
2,1013572,MT,48.8,-114.0
4,1013572,MT,48.8,-114.0
4,1013572,MT,48.8,-114.0
4,1013572,MT,48.8,-114.0
4,1013572,MT,48.8,-114.0
2,1013572,MT,48.8,-114.0
4,1013572,MT,48.8,-114.0
2,1013572,MT,48.8,-114.0
4,1013572,MT,48.8,-114.0
4,1217403,AZ,36.06,-112.14
4,1217403,AZ,36.06,-112.14
4,1217403,AZ,36.06,-112.14
4,1217403,AZ,36.06,-112.14
2,1217403,AZ,36.06,-112.14
4,1217403,AZ,36.06,-112.14
4,1217403,AZ,36.06,-112.14
1,1217403,AZ,36.06,-112.14
4,1217403,AZ,36.06,-112.14
3,1217403,AZ,36.06,-112.14
2,42984,CO,37.73,-105.51
5,86416,TX,31.92,-104.87
4,86416,TX,31.92,-104.87
3,86416,TX,31.92,-104.87
5,235625,WA,46.85,-121.75
4,235625,WA,46.85,-121.75
4,235625,WA,46.85,-121.75
4,235625,WA,46.85,-121.75
4,235625,WA,46.85,-121.75
2,235625,WA,46.85,-121.75
5,504781,WA,48.7,-121.2
4,504781,WA,48.7,-121.2
4,504781,WA,48.7,-121.2
4,504781,WA,48.7,-121.2
4,504781,WA,48.7,-121.2
2,504781,WA,48.7,-121.2
1,504781,WA,48.7,-121.2
1,504781,WA,48.7,-121.2
4,504781,WA,48.7,-121.2
4,504781,WA,48.7,-121.2
1,504781,WA,48.7,-121.2
4,504781,WA,48.7,-121.2
1,504781,WA,48.7,-121.2
5,504781,WA,48.7,-121.2
4,504781,WA,48.7,-121.2
1,504781,WA,48.7,-121.2
2,504781,WA,48.7,-121.2
5,504781,WA,48.7,-121.2
4,504781,WA,48.7,-121.2
1,504781,WA,48.7,-121.2
1,504781,WA,48.7,-121.2
4,504781,WA,48.7,-121.2
5,504781,WA,48.7,-121.2
2,504781,WA,48.7,-121.2
1,504781,WA,48.7,-121.2
1,504781,WA,48.7,-121.2
