abundance,acres,state,latitude,longitude
1,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
3,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
1,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
2,172924,FL,25.65,-80.08
4,172924,FL,25.65,-80.08
4,249561,CA,34.01,-119.42
4,249561,CA,34.01,-119.42
2,249561,CA,34.01,-119.42
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
5,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
4,32950,OH,41.24,-81.55
2,32950,OH,41.24,-81.55
1,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
4,64701,FL,24.63,-82.87
4,64701,FL,24.63,-82.87
4,64701,FL,24.63,-82.87
1,64701,FL,24.63,-82.87
1,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
1,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
4,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
4,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
1,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
4,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
4,64701,FL,24.63,-82.87
4,64701,FL,24.63,-82.87
1,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
1,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
1,64701,FL,24.63,-82.87
1,64701,FL,24.63,-82.87
1,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
4,64701,FL,24.63,-82.87
1,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
4,64701,FL,24.63,-82.87
2,64701,FL,24.63,-82.87
4,64701,FL,24.63,-82.87
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,29094,HI,20.72,-156.17
2,3674530,AK,58.5,-155.0
4,3674530,AK,58.5,-155.0
4,3674530,AK,58.5,-155.0
4,669983,AK,59.92,-149.65
1,669983,AK,59.92,-149.65
1,669983,AK,59.92,-149.65
4,669983,AK,59.92,-149.65
5,669983,AK,59.92,-149.65
5,106372,CA,40.49,-121.51
2,218200,MN,48.5,-92.88
2,218200,MN,48.5,-92.88
4,218200,MN,48.5,-92.88
2,218200,MN,48.5,-92.88
2,218200,MN,48.5,-92.88
2,218200,MN,48.5,-92.88
2,218200,MN,48.5,-92.88
