abundance,acres,state,latitude,longitude
1,47390,ME,44.35,-68.21
5,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
1,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
3,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
3,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
5,47390,ME,44.35,-68.21
1,47390,ME,44.35,-68.21
1,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
5,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
5,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
2,47390,ME,44.35,-68.21
4,47390,ME,44.35,-68.21
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
1,76519,UT,38.68,-109.57
1,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
1,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
1,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
1,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
2,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
4,76519,UT,38.68,-109.57
4,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
3,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
1,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
3,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
3,242756,SD,43.75,-102.5
3,242756,SD,43.75,-102.5
2,242756,SD,43.75,-102.5
3,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
4,242756,SD,43.75,-102.5
1,801163,TX,29.25,-103.25
1,801163,TX,29.25,-103.25
1,801163,TX,29.25,-103.25
1,801163,TX,29.25,-103.25
1,801163,TX,29.25,-103.25
1,801163,TX,29.25,-103.25
1,801163,TX,29.25,-103.25
1,801163,TX,29.25,-103.25
1,801163,TX,29.25,-103.25
2,172924,FL,25.65,-80.08
1,337598,UT,38.2,-109.93
2,32950,CO,38.57,-107.72
2,32950,CO,38.57,-107.72
