abundance,acres,state,latitude,longitude
3,3224840,AK,58.5,-137.0
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
4,521490,TN  NC,35.68,-83.53
1,521490,TN  NC,35.68,-83.53
2,521490,TN  NC,35.68,-83.53
